Date,Open,High,Low,Close,Adj Close,Volume
2017-04-04,46.299999,46.470001,46.119999,46.230000,46.230000,4758400
2017-04-05,46.410000,46.919998,46.240002,46.380001,46.380001,4840300
2017-04-06,46.380001,46.430000,46.040001,46.279999,46.279999,4124600
2017-04-07,46.230000,46.529999,45.959999,46.439999,46.439999,4629800
2017-04-10,46.490002,47.419998,46.400002,47.209999,47.209999,7818000
2017-04-11,47.029999,47.209999,46.419998,46.790001,46.790001,5593900
2017-04-12,46.799999,47.160000,46.669998,46.830002,46.830002,5127300
2017-04-13,46.849998,47.110001,46.610001,46.900002,46.900002,3762100
2017-04-17,47.020000,47.419998,46.919998,47.389999,47.389999,3857100
2017-04-18,47.250000,47.750000,47.139999,47.560001,47.560001,9341900
2017-04-19,47.599998,47.880001,46.930000,47.000000,47.000000,12179500
2017-04-20,47.250000,47.840000,47.070000,47.669998,47.669998,10925100
2017-04-21,47.730000,47.770000,47.369999,47.520000,47.520000,7055000
2017-04-24,47.889999,48.200001,47.750000,48.150002,48.150002,9860400
2017-04-25,48.290001,48.459999,48.160000,48.400002,48.400002,10288200
2017-04-26,48.400002,48.470001,48.169998,48.259998,48.259998,4053100
2017-04-27,48.080002,48.470001,48.020000,48.360001,48.360001,10635400
2017-04-28,48.450001,48.500000,48.160000,48.209999,48.209999,4925400
2017-05-01,48.220001,48.779999,48.119999,48.610001,48.610001,6386500
2017-05-02,48.720001,49.299999,48.720001,49.090000,49.090000,6106300
2017-05-03,49.189999,49.189999,48.169998,48.540001,48.540001,4702400
2017-05-04,48.630001,48.680000,48.160000,48.450001,48.450001,6208900
2017-05-05,48.450001,48.660000,48.270000,48.490002,48.490002,7835500
2017-05-08,48.709999,48.959999,48.509998,48.849998,48.849998,10059600
2017-05-09,49.139999,49.669998,48.939999,49.490002,49.490002,10279100
2017-05-10,49.400002,49.599998,49.139999,49.400002,49.400002,8360400
2017-05-11,49.450001,49.709999,49.139999,49.689999,49.689999,6142900
2017-05-12,49.750000,49.750000,49.439999,49.650002,49.650002,6185800
2017-05-15,49.709999,49.939999,49.480000,49.860001,49.860001,9129300
2017-05-16,50.049999,51.119999,50.029999,50.959999,50.959999,19423600
2017-05-17,50.700001,50.700001,49.450001,49.650002,49.650002,20954100
2017-05-18,48.680000,50.029999,47.740002,49.630001,49.630001,13737500
2017-05-19,50.029999,51.230000,50.009998,50.180000,50.180000,11182000
2017-05-22,50.509998,51.080002,50.220001,50.650002,50.650002,9696600
2017-05-23,50.450001,50.900002,50.259998,50.310001,50.310001,7342000
2017-05-24,50.180000,50.590000,49.900002,50.320000,50.320000,12170900
2017-05-25,50.480000,50.750000,50.049999,50.599998,50.599998,11961100
2017-05-26,50.500000,50.740002,50.320000,50.669998,50.669998,6049500
2017-05-30,50.669998,50.939999,50.500000,50.560001,50.560001,8400200
2017-05-31,50.599998,50.650002,49.970001,50.320000,50.320000,8750800
2017-06-01,50.490002,50.700001,50.070000,50.650002,50.650002,7776700
2017-06-02,50.529999,50.750000,50.310001,50.599998,50.599998,9857200
2017-06-05,50.520000,50.880001,50.400002,50.599998,50.599998,16600800
2017-06-06,50.419998,50.759998,50.299999,50.500000,50.500000,27315900
2017-06-07,50.470001,50.720001,50.279999,50.549999,50.549999,25993500
2017-06-08,55.349998,55.939999,53.490002,55.709999,55.709999,75367300
2017-06-09,56.160000,57.389999,53.660000,54.020000,54.020000,74186700
2017-06-12,53.790001,54.549999,52.599998,53.119999,53.119999,57753300
2017-06-13,53.650002,54.080002,52.000000,52.000000,52.000000,157375700
2017-06-14,52.419998,54.259998,52.160000,52.630001,52.630001,72069000
2017-06-15,52.169998,52.759998,51.650002,52.580002,52.580002,72688400
2017-06-16,52.790001,53.299999,51.900002,52.580002,52.580002,269377100
2017-06-19,54.000000,55.029999,53.799999,54.459999,54.459999,39430300
2017-06-20,54.540001,54.900002,53.790001,53.810001,53.810001,47512900
2017-06-21,53.939999,55.169998,53.889999,55.090000,55.090000,28731700
2017-06-22,54.750000,55.450001,54.419998,54.560001,54.560001,17258900
2017-06-23,54.490002,54.990002,54.450001,54.730000,54.730000,13065600
2017-06-26,55.380001,55.599998,53.970001,54.310001,54.310001,22718100
2017-06-27,54.439999,54.730000,53.529999,53.639999,53.639999,17023600
2017-06-28,54.090000,55.099998,53.770000,54.950001,54.950001,14675900
2017-06-29,54.490002,54.919998,53.130001,54.299999,54.299999,11963000
2017-06-30,54.330002,54.730000,54.080002,54.480000,54.480000,8826100
2017-07-03,55.080002,55.250000,54.049999,54.450001,54.450001,4559100
2017-07-05,50.400002,55.840000,50.400002,55.619999,55.619999,8817600
2017-07-06,55.049999,55.200001,54.410000,54.529999,54.529999,5978200
2017-07-07,54.650002,54.910000,54.310001,54.549999,54.549999,2776100
2017-07-10,54.279999,54.980000,54.270000,54.799999,54.799999,4164400
2017-07-11,54.759998,55.349998,54.590000,55.250000,55.250000,10200800
2017-07-12,55.660000,56.570000,55.660000,56.340000,56.340000,5836100
2017-07-13,56.439999,56.680000,56.060001,56.459999,56.459999,3806300
2017-07-14,56.540001,57.410000,56.529999,57.230000,57.230000,4420300
2017-07-17,57.680000,57.880001,57.130001,57.509998,57.509998,6905800
2017-07-18,57.130001,58.750000,56.730000,58.480000,58.480000,7126600
2017-07-19,59.270000,59.330002,58.189999,58.360001,58.360001,8682700
2017-07-20,58.459999,58.580002,58.020000,58.450001,58.450001,8757000
2017-07-21,58.189999,58.400002,57.759998,58.160000,58.160000,8832400
2017-07-24,58.279999,58.500000,58.020000,58.150002,58.150002,3671100
2017-07-25,57.980000,58.369999,57.869999,58.070000,58.070000,3264400
2017-07-26,57.950001,59.029999,57.930000,58.900002,58.900002,5443700
2017-07-27,59.610001,60.220001,57.560001,58.430000,58.430000,8394400
2017-07-28,58.110001,59.639999,57.980000,59.200001,59.200001,5871000
2017-07-31,59.700001,59.889999,58.070000,58.400002,58.400002,6738100
2017-08-01,58.599998,58.799999,58.110001,58.500000,58.500000,4164500
2017-08-02,58.950001,59.250000,56.900002,57.660000,57.660000,5845800
2017-08-03,57.869999,58.330002,57.130001,58.150002,58.150002,4725800
2017-08-04,58.430000,58.570000,58.009998,58.509998,58.509998,7330400
2017-08-07,58.849998,60.160000,58.759998,60.029999,60.029999,5540200
2017-08-08,59.770000,60.439999,59.619999,59.860001,59.860001,4207200
2017-08-09,59.230000,59.950001,59.070000,59.770000,59.770000,3070800
2017-08-10,59.169998,59.509998,57.869999,58.029999,58.029999,4420300
2017-08-11,57.779999,58.230000,56.840000,57.919998,57.919998,5552500
2017-08-14,58.700001,59.020000,58.500000,58.869999,58.869999,7401600
2017-08-15,59.279999,60.139999,58.790001,59.990002,59.990002,7863500
2017-08-16,60.430000,60.849998,60.209999,60.650002,60.650002,7640600
2017-08-17,63.049999,63.459999,62.090000,62.200001,62.200001,11943600
2017-08-18,62.360001,63.700001,62.060001,63.070000,63.070000,13008700
2017-08-21,63.150002,64.000000,62.900002,63.599998,63.599998,4594100
2017-08-22,63.759998,65.519997,63.759998,65.419998,65.419998,5627200
2017-08-23,65.010002,66.000000,64.639999,65.820000,65.820000,4130900
2017-08-24,66.059998,66.199997,65.339996,65.500000,65.500000,4055800
2017-08-25,65.410004,65.559998,64.260002,64.510002,64.510002,5940800
2017-08-28,64.430000,64.430000,63.130001,63.529999,63.529999,5567400
2017-08-29,62.299999,63.720001,62.099998,63.169998,63.169998,3590100
2017-08-30,63.650002,64.580002,63.630001,64.160004,64.160004,5288300
2017-08-31,64.500000,64.760002,63.840000,64.080002,64.080002,3676500
2017-09-01,64.169998,64.379997,63.860001,64.050003,64.050003,2191300
2017-09-05,63.529999,64.300003,63.279999,63.860001,63.860001,3277300
2017-09-06,63.709999,64.279999,62.900002,63.320000,63.320000,4876000
2017-09-07,63.560001,64.180000,63.169998,64.019997,64.019997,3944200
2017-09-08,63.720001,64.339996,63.500000,63.580002,63.580002,3298300
2017-09-11,64.690002,65.260002,64.400002,65.139999,65.139999,5464300
2017-09-12,65.300003,65.629997,65.059998,65.360001,65.360001,6672100
2017-09-13,65.400002,66.709999,65.400002,66.519997,66.519997,10760800
2017-09-14,66.260002,66.910004,65.720001,66.080002,66.080002,11463600
2017-09-15,66.389999,66.660004,66.019997,66.410004,66.410004,8589600
2017-09-18,67.000000,67.279999,66.559998,67.110001,67.110001,5323800
2017-09-19,67.300003,67.610001,67.070000,67.430000,67.430000,4478700
2017-09-20,67.370003,67.589996,66.400002,66.919998,66.919998,11434000
2017-09-21,67.000000,67.220001,66.059998,66.589996,66.589996,4123900
2017-09-22,66.449997,67.389999,66.230003,67.339996,67.339996,8523300
2017-09-25,67.000000,67.000000,64.209999,64.959999,64.959999,18001300
2017-09-26,65.080002,65.820000,64.239998,64.449997,64.449997,6654400
2017-09-27,65.129997,66.269997,65.010002,65.800003,65.800003,13978900
2017-09-28,65.900002,66.190002,65.540001,65.580002,65.580002,7214800
2017-09-29,65.639999,66.610001,65.639999,66.239998,66.239998,5452400
2017-10-02,66.599998,66.980003,66.290001,66.510002,66.510002,20424000
2017-10-03,67.190002,67.930000,66.959999,67.809998,67.809998,5709600
