Date,Open,High,Low,Close,Adj Close,Volume
2017-07-28,58.110001,59.639999,57.980000,59.200001,59.200001,5871000
2017-07-31,59.700001,59.889999,58.070000,58.400002,58.400002,6738100
2017-08-01,58.599998,58.799999,58.110001,58.500000,58.500000,4164500
2017-08-02,58.950001,59.250000,56.900002,57.660000,57.660000,5845800
2017-08-03,57.869999,58.330002,57.130001,58.150002,58.150002,4725800
2017-08-04,58.430000,58.570000,58.009998,58.509998,58.509998,7330400
2017-08-07,58.849998,60.160000,58.759998,60.029999,60.029999,5540200
2017-08-08,59.770000,60.439999,59.619999,59.860001,59.860001,4207200
2017-08-09,59.230000,59.950001,59.070000,59.770000,59.770000,3070800
2017-08-10,59.169998,59.509998,57.869999,58.029999,58.029999,4420300
2017-08-11,57.779999,58.230000,56.840000,57.919998,57.919998,5552500
2017-08-14,58.700001,59.020000,58.500000,58.869999,58.869999,7401600
2017-08-15,59.279999,60.139999,58.790001,59.990002,59.990002,7863500
2017-08-16,60.430000,60.849998,60.209999,60.650002,60.650002,7640600
2017-08-17,63.049999,63.459999,62.090000,62.200001,62.200001,11943600
2017-08-18,62.360001,63.700001,62.060001,63.070000,63.070000,13008700
2017-08-21,63.150002,64.000000,62.900002,63.599998,63.599998,4594100
2017-08-22,63.759998,65.519997,63.759998,65.419998,65.419998,5627200
2017-08-23,65.010002,66.000000,64.639999,65.820000,65.820000,4130900
2017-08-24,66.059998,66.199997,65.339996,65.500000,65.500000,4055800
2017-08-25,65.410004,65.559998,64.260002,64.510002,64.510002,5940800
2017-08-28,64.430000,64.430000,63.130001,63.529999,63.529999,5567400
2017-08-29,62.299999,63.720001,62.099998,63.169998,63.169998,3590100
2017-08-30,63.650002,64.580002,63.630001,64.160004,64.160004,5288300
2017-08-31,64.500000,64.760002,63.840000,64.080002,64.080002,3676500
2017-09-01,64.169998,64.379997,63.860001,64.050003,64.050003,2191300
2017-09-05,63.529999,64.300003,63.279999,63.860001,63.860001,3277300
2017-09-06,63.709999,64.279999,62.900002,63.320000,63.320000,4876000
2017-09-07,63.560001,64.180000,63.169998,64.019997,64.019997,3944200
2017-09-08,63.720001,64.339996,63.500000,63.580002,63.580002,3298300
2017-09-11,64.690002,65.260002,64.400002,65.139999,65.139999,5464300
2017-09-12,65.300003,65.629997,65.059998,65.360001,65.360001,6672100
2017-09-13,65.400002,66.709999,65.400002,66.519997,66.519997,10760800
2017-09-14,66.260002,66.910004,65.720001,66.080002,66.080002,11463600
2017-09-15,66.389999,66.660004,66.019997,66.410004,66.410004,8589600
2017-09-18,67.000000,67.279999,66.559998,67.110001,67.110001,5323800
2017-09-19,67.300003,67.610001,67.070000,67.430000,67.430000,4478700
2017-09-20,67.370003,67.589996,66.400002,66.919998,66.919998,11434000
2017-09-21,67.000000,67.220001,66.059998,66.589996,66.589996,4123900
2017-09-22,66.449997,67.389999,66.230003,67.339996,67.339996,8523300
2017-09-25,67.000000,67.000000,64.209999,64.959999,64.959999,18001300
2017-09-26,65.080002,65.820000,64.239998,64.449997,64.449997,6654400
2017-09-27,65.129997,66.269997,65.010002,65.800003,65.800003,13978900
2017-09-28,65.900002,66.190002,65.540001,65.580002,65.580002,7214800
2017-09-29,65.639999,66.610001,65.639999,66.239998,66.239998,5452400
2017-10-02,66.599998,66.980003,66.290001,66.510002,66.510002,20424000
2017-10-03,67.190002,67.930000,66.959999,67.809998,67.809998,5709600
2017-10-04,67.790001,68.220001,67.480003,67.660004,67.660004,4289700
2017-10-05,67.750000,68.099998,66.959999,67.720001,67.720001,3451700
2017-10-06,67.489998,68.080002,67.320000,67.849998,67.849998,1939100
2017-10-09,67.849998,69.059998,67.750000,68.739998,68.739998,2763900
2017-10-10,68.510002,69.510002,68.510002,68.930000,68.930000,5689000
2017-10-11,68.750000,69.379997,68.709999,69.220001,69.220001,4251800
2017-10-12,69.000000,69.230003,67.800003,67.910004,67.910004,4111000
2017-10-13,68.169998,68.180000,67.379997,67.519997,67.519997,3380900
2017-10-16,67.910004,68.129997,67.360001,68.040001,68.040001,4523200
2017-10-17,68.000000,68.099998,66.629997,66.779999,66.779999,4264400
2017-10-18,67.199997,68.040001,66.980003,67.790001,67.790001,5361800
2017-10-19,66.970001,67.540001,66.650002,67.449997,67.449997,4271300
2017-10-20,67.650002,68.360001,67.449997,67.510002,67.510002,7149400
2017-10-23,67.629997,68.000000,66.400002,66.510002,66.510002,3959100
2017-10-24,66.690002,67.199997,66.400002,66.610001,66.610001,3667000
2017-10-25,66.660004,67.040001,65.190002,65.400002,65.400002,4550600
2017-10-26,65.500000,66.010002,65.070000,65.570000,65.570000,4967300
2017-10-27,66.599998,67.730003,65.870003,67.519997,67.519997,7604700
